"ats_vendor","ats_slug","sector","confidence","note"
"ashby","9fin","fintech_finance","medium","debt markets data platform"
"ashby","abacum","software","high","known FP&A saas"
"ashby","adaptive","software","low","unrecognized, generic titles"
"ashby","adaptivesecurity","software","medium","security awareness saas"
"ashby","aegis-ai","ai","medium","titles: ai engineer"
"ashby","aescape","industrial_construction","low","robotics hardware"
"ashby","agentio","software","medium","creator ad marketplace"
"ashby","airops","ai","high","known company, ai content"
"ashby","ajax","software","low","unrecognized, generic titles"
"ashby","akur8","software","high","known insurance pricing SaaS"
"ashby","alchemy","crypto","high","known web3 infra"
"ashby","allarahealth","healthcare","high","telehealth clinicians"
"ashby","allium","crypto","high","known company, blockchain data"
"ashby","alpacahealth","healthcare","high","titles: ABA therapy providers"
"ashby","alternativepayments","fintech_finance","medium","payments platform"
"ashby","ambral","ai","medium","post-training research titles"
"ashby","ambrook","fintech_finance","high","known company, farm fintech"
"ashby","amperos","ai","medium","titles: AI billing"
"ashby","antimetal","software","high","known cloud infra startup"
"ashby","april","fintech_finance","medium","tax software for banks"
"ashby","arketa","software","high","known fitness SaaS"
"ashby","arlo","healthcare","medium","titles: RN case manager, health tech"
"ashby","artian","software","low","unrecognized, generic titles"
"ashby","artsy","software","high","known art marketplace"
"ashby","assembledhq","software","high","known company"
"ashby","astronomer","software","high","known Airflow company"
"ashby","ataraxis-ai","ai","high","AI precision oncology, foundation models"
"ashby","atg","ai","low","titles: research scientist, mts"
"ashby","atlas","fintech_finance","medium","credit card, underwriting titles"
"ashby","attio","software","high","known company, CRM saas"
"ashby","auctor","software","low","unrecognized, generic startup titles"
"ashby","august","ai","low","unrecognized, AI deployment titles"
"ashby","avoca","ai","medium","ai agents for home services"
"ashby","away","consumer_goods","high","known company"
"ashby","axion","ai","medium","titles: ai agents"
"ashby","barnes","professional_services","high","known law firm"
"ashby","baseten","ai","high","known company, ai infra"
"ashby","basiccapital","fintech_finance","medium","retirement investing fintech"
"ashby","basis-ai","ai","medium","ai for accounting firms"
"ashby","basis-research","ai","high","known AI research lab"
"ashby","bastion","crypto","high","known stablecoin infra"
"ashby","batoncorporation","ai","medium","titles: RL engineer"
"ashby","bedrock-robotics","ai","medium","construction autonomy AI"
"ashby","bettermoney","fintech_finance","medium","titles: payments, money movement"
"ashby","bevel","software","medium","consumer health app"
"ashby","bjakcareer","fintech_finance","medium","insurance aggregator, AI finance titles"
"ashby","blackbird-labs-inc","software","medium","restaurant loyalty platform"
"ashby","blacksmith","software","high","known CI infra company"
"ashby","blossom-health","healthcare","medium","titles: psychiatrist, np"
"ashby","branchlab","software","medium","healthcare adtech platform"
"ashby","bravehealth","healthcare","high","known company, telehealth"
"ashby","brellium","ai","medium","AI clinical compliance"
"ashby","brigit","fintech_finance","high","known company"
"ashby","bubble","software","high","known no-code platform"
"ashby","camber","software","high","known ABA billing software"
"ashby","campfire","software","medium","accounting saas"
"ashby","campus","education","high","online college"
"ashby","canals","ai","medium","supply chain AI"
"ashby","candidhealth","software","high","known healthcare billing saas"
"ashby","cape","government_public","medium","federal-focused secure carrier"
"ashby","centari","ai","high","known legal AI"
"ashby","chainalysis-careers","crypto","high","known company"
"ashby","cinder","software","high","known trust safety platform"
"ashby","citizen","software","high","known safety app"
"ashby","claim-health","ai","medium","ai prior authorization"
"ashby","clair","fintech_finance","high","known company, earned wage"
"ashby","clarion","ai","medium","AI healthcare voice agents"
"ashby","claritypay","fintech_finance","medium","titles: merchant underwriting, fraud"
"ashby","claylabs","software","high","Clay, known GTM saas"
"ashby","codes-health","software","medium","health tech saas, generic titles"
"ashby","cogent-security","ai","medium","ai security agents"
"ashby","cognition","ai","high","known company"
"ashby","cohere","ai","high","known company"
"ashby","comity","industrial_construction","medium","titles: power markets, utilities"
"ashby","compass-surgical-partners","healthcare","high","titles: nursing, surgical"
"ashby","comun","fintech_finance","high","known company"
"ashby","concourse","ai","medium","AI finance agents startup"
"ashby","conduit-health","healthcare","medium","titles: clinical ops, intake"
"ashby","conveo","ai","medium","AI research interviews startup"
"ashby","creatoriq","software","high","known influencer marketing saas"
"ashby","credal","ai","medium","enterprise AI deployment titles"
"ashby","creditgenie","fintech_finance","high","known debt relief fintech"
"ashby","crosby","ai","medium","AI legal firm"
"ashby","crusoe","ai","high","known AI cloud"
"ashby","cursor","ai","high","known company"
"ashby","dailypay","fintech_finance","high","known company"
"ashby","darkroom","media_advertising","high","known growth marketing agency"
"ashby","datalab","ai","medium","ocr models, open source"
"ashby","decagon","ai","high","known ai agents company"
"ashby","deepl","ai","high","known company"
"ashby","deeptune","ai","medium","AI dubbing startup"
"ashby","dispatch","software","low","unrecognized, generic titles"
"ashby","distributed-spectrum","government_public","medium","defense RF, army bizdev"
"ashby","doctronic","ai","high","known AI doctor app"
"ashby","doji","ai","medium","AI virtual try-on app"
"ashby","doppel","software","high","known security company"
"ashby","dualentry","ai","medium","AI ERP startup"
"ashby","duet","healthcare","medium","value based care, RN titles"
"ashby","dusk","software","medium","live music booking marketplace"
"ashby","dust","ai","high","known AI agents"
"ashby","eightsleep","consumer_goods","high","known company"
"ashby","elevenlabs","ai","high","known company"
"ashby","eliseai","ai","high","known AI for housing"
"ashby","ellipsislabs","crypto","high","known Solana protocol"
"ashby","elliptic","crypto","high","crypto compliance analytics"
"ashby","endex","ai","medium","AI for finance startup"
"ashby","epidemic-sound","media_advertising","high","known music licensing"
"ashby","ethyca","software","high","known privacy software"
"ashby","evertune","ai","medium","ai brand monitoring"
"ashby","extend","ai","medium","document AI"
"ashby","f2-ai","ai","medium","AI deployment titles"
"ashby","factory","ai","high","known AI dev agents"
"ashby","farsight","software","low","unrecognized, AI engineer titles"
"ashby","fin","fintech_finance","low","titles: risk analyst"
"ashby","finch-legal","ai","medium","legal AI, case manager titles"
"ashby","firsthand","ai","medium","agentic AI product titles"
"ashby","fitt","media_advertising","low","titles: PR/marketing agency"
"ashby","flaglerhealth","healthcare","medium","titles: remote nurse, RCM"
"ashby","fluidstack","ai","high","known AI cloud infra"
"ashby","fonoa","software","high","tax compliance saas"
"ashby","fortuna-health","software","medium","medicaid enrollment platform"
"ashby","fuel-cycle","software","medium","market research saas"
