sector,label,naics2,description
software,Software & internet,51,"saas, dev tools, cloud infra, consumer internet, marketplaces, adtech platforms"
ai,AI,54,"companies whose product is a model or ai application (labs, applied ai, legal ai, ai agents)"
fintech_finance,Finance & fintech,52,"banks, trading firms, asset managers, insurers, payments, lending, fintech apps"
crypto,Crypto & prediction markets,52,"exchanges, protocols, web3 infra, prediction markets"
healthcare,Healthcare providers & payers,62,"hospitals, clinics, physical therapy, home care, health insurance, digital health delivering care"
biotech_pharma,Biotech & pharma,32,"drug development, diagnostics, medical devices, life science tools"
retail,Retail,44,"stores, e-commerce retailers, grocery, dollar stores"
hospitality_food,Hospitality & food,72,"restaurants, hotels, cafes, catering, food delivery kitchens"
media_advertising,Media & advertising,51,"publishers, news, entertainment, agencies, marketing services"
education,Education,61,"schools, charter networks, universities, edtech, tutoring"
government_public,Government & contractors,92,"public agencies, defense and federal contractors, public authorities"
nonprofit_social_services,Nonprofit & social services,62,"community organizations, human services, foundations, advocacy, arts nonprofits"
real_estate_proptech,Real estate & proptech,53,"landlords, brokerages, property management, proptech, construction developers"
professional_services,Professional services,54,"law firms, consulting, accounting, architecture and engineering firms, design agencies"
logistics_delivery,Logistics & delivery,48,"freight, last mile, warehousing, delivery platforms, transportation"
staffing,Staffing & recruiting,56,"staffing agencies, recruiters, employer-of-record, temp firms"
industrial_construction,"Industrial, construction & energy",23,"manufacturing, construction trades, utilities, energy, aerospace, hardware"
consumer_goods,Consumer goods & fashion,31,"cpg, apparel, beauty, dtc brands, luxury"
unknown,Unknown,,"not enough evidence to say"
