ats_vendor,access_tier,ats_slug,cohort_reason,sector,sector_source,sector_confidence,sector_note,naics2,nyc_count,ny_state_count,total_count,remote_us_count,is_recruiter,sample_url
greenhouse,1,anthropic,threshold: 5+ nyc postings,ai,agent,high,known company,54,365,0,745,43,false,https://job-boards.greenhouse.io/anthropic/jobs/4951814008
greenhouse,1,doordashusa,threshold: 5+ nyc postings,logistics_delivery,agent,high,known company,48,226,4,658,81,false,https://job-boards.greenhouse.io/doordashusa/jobs/7875253
greenhouse,1,coreweave,threshold: 5+ nyc postings,ai,agent,high,"known company, AI infra",54,216,2,386,1,false,https://coreweave.com/careers/job?4656273006&board=coreweave&gh_jid=4656273006
greenhouse,1,thenewyorktimes,threshold: 5+ nyc postings,media_advertising,agent,high,known company,51,198,0,235,12,false,https://job-boards.greenhouse.io/thenewyorktimes/jobs/4720540005
greenhouse,1,diginnother,threshold: 5+ nyc postings,hospitality_food,agent,high,"Dig restaurants, titles: kitchen",72,184,11,325,0,false,https://job-boards.greenhouse.io/diginnother/jobs/7739693
greenhouse,1,datadog,threshold: 5+ nyc postings,software,agent,high,known company,51,173,5,565,49,false,https://careers.datadoghq.com/detail/8174592/?gh_jid=8174592
workday,1,convive|wd12|lepainquotidien,threshold: 5+ nyc postings,hospitality_food,agent,high,Le Pain Quotidien,72,172,22,395,0,false,https://convive.wd12.myworkdayjobs.com/lepainquotidien/job/New-York-NY/Assistant-General-Manager_JR100504-1
workday,1,dollartree|wd5|dollartreeus,threshold: 5+ nyc postings,retail,agent,high,known company,44,162,853,29823,0,false,https://dollartree.wd5.myworkdayjobs.com/dollartreeus/job/NY-Brooklyn/Assistant-Manager-I_R-282215
lever,1,spear,threshold: 5+ nyc postings,healthcare,agent,high,SPEAR physical therapy,62,159,17,187,0,false,https://jobs.lever.co/spear/132cd75e-6c26-42f0-ac72-06986c14a423
paylocity,2,ADAPT Community Network,threshold: 5+ nyc postings,nonprofit_social_services,agent,high,known disability services nonprofit,62,159,2,161,0,false,https://recruiting.paylocity.com/recruiting/Jobs/Details/4070689
ashby,1,harvey,threshold: 5+ nyc postings,ai,agent,high,known legal AI,54,140,140,491,0,false,https://jobs.ashbyhq.com/harvey/99aceabe-916e-4491-97e9-42f2471bf087
greenhouse,1,oscar,threshold: 5+ nyc postings,healthcare,agent,high,Oscar Health insurer,62,135,1,416,0,false,http://www.hioscar.com/careers/8163054?gh_jid=8163054
greenhouse,1,braze,threshold: 5+ nyc postings,software,agent,high,known company,51,134,0,657,1,false,https://boards.greenhouse.io/braze/jobs/7954008?gh_jid=7954008
ashby,1,ramp,threshold: 5+ nyc postings,fintech_finance,agent,high,known company,52,133,0,174,12,false,https://jobs.ashbyhq.com/ramp/f7c4de3c-1d64-42e9-8111-f38e265327d8
greenhouse,1,successacademycharterschool,threshold: 5+ nyc postings,education,agent,high,known charter network,61,133,72,142,0,false,https://job-boards.greenhouse.io/successacademycharterschool/jobs/5032488008
greenhouse,1,mediabrands,threshold: 5+ nyc postings,media_advertising,agent,high,IPG Mediabrands,51,132,0,216,0,false,https://job-boards.greenhouse.io/mediabrands/jobs/5137858007
workday,1,msk|wd108|mskcc_careers_primary,threshold: 5+ nyc postings,healthcare,agent,high,known hospital,62,129,14,160,0,false,https://msk.wd108.myworkdayjobs.com/mskcc_careers_primary/job/New-York-NY/Admissions-Representative-I_101297
greenhouse,1,stripe,threshold: 5+ nyc postings,fintech_finance,agent,high,known company,52,127,63,850,113,false,https://stripe.com/jobs/search?gh_jid=8077887
greenhouse,1,figma,threshold: 5+ nyc postings,software,agent,high,known company,51,126,0,212,0,false,https://boards.greenhouse.io/figma/jobs/5426468004?gh_jid=5426468004
lever,1,cgsfederal,threshold: 5+ nyc postings,government_public,agent,high,"federal contractor, cleared paralegals",92,119,10,1458,0,false,https://jobs.lever.co/cgsfederal/db7944a9-68ba-4062-bb9a-57f4bf8648d2
ashby,1,eliseai,threshold: 5+ nyc postings,ai,agent,high,known AI for housing,54,112,0,131,0,false,https://jobs.ashbyhq.com/eliseai/fee68f4b-4789-4a89-9fcb-2bec51d30c8f
greenhouse,1,janestreet,threshold: 5+ nyc postings,fintech_finance,agent,high,known company,52,111,0,256,0,false,https://www.janestreet.com/join-jane-street/apply/8631912002?gh_jid=8631912002
greenhouse,1,scaleai,threshold: 5+ nyc postings,ai,agent,high,known company,54,110,0,263,0,false,https://job-boards.greenhouse.io/scaleai/jobs/4625345005
ashby,1,legora,threshold: 5+ nyc postings,ai,agent,high,known legal AI,54,109,0,371,1,false,https://jobs.ashbyhq.com/legora/6dae34ec-2164-46de-bec7-a877b96a0f7c
ashby,1,polymarket,threshold: 5+ nyc postings,crypto,agent,high,known prediction market,52,103,103,114,0,false,https://jobs.ashbyhq.com/polymarket/48684bfd-bee8-42dc-98a0-68f170c3916e
lever,1,palantir,threshold: 5+ nyc postings,software,agent,high,known company,51,101,0,327,0,false,https://jobs.lever.co/palantir/fe2a8c69-49b7-405f-816c-a6c6f894399a
greenhouse,1,aloyoga,threshold: 5+ nyc postings,consumer_goods,agent,high,known apparel brand,31,98,35,1419,1,false,https://boards.greenhouse.io/aloyoga/jobs/6119033004?gh_jid=6119033004
workday,1,dowjones|wd1|dow_jones_career,threshold: 5+ nyc postings,media_advertising,agent,high,known company,51,95,0,231,0,false,https://dowjones.wd1.myworkdayjobs.com/dow_jones_career/job/NYC---1211-Ave-of-the-Americas/Account-Manager_Job_Req_53984
greenhouse,1,justworks,threshold: 5+ nyc postings,software,agent,high,known PEO/HR saas,51,95,0,131,8,false,https://boards.greenhouse.io/justworks/jobs/7966605?gh_jid=7966605
workday,1,nyp|wd1|nypcareers,threshold: 5+ nyc postings,healthcare,agent,high,NewYork-Presbyterian,62,93,0,386,0,false,https://nyp.wd1.myworkdayjobs.com/nypcareers/job/NYPBrooklyn-Methodist-Hospital/Access-Service-Rep---Patient-Access---Evening-Shift-Including-Weekends-and-Holidays_00882416-1
workday,1,fox|wd1|domestic,threshold: 5+ nyc postings,media_advertising,agent,high,known company,51,93,0,230,5,false,https://fox.wd1.myworkdayjobs.com/domestic/job/New-York-New-York-USA/Administrative-Production-Assistant--Morning-Programming-and-Program-Development_R50033602-1
